Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Date,Delivery_Efficiency
2023.0,5.0,Europe,Model S,1.9627443065960761,1.7057521813329732,0.39598155394848666,120.0,704.0,1863.42,Interpolated (Month),12207.0,2023-05-01,0.9845999330431872
2015.0,2.0,Asia,Model X,-1.5565136453183706,-1.5239815768596119,-1.1283456721462237,75.0,438.0,249.46,Official (Quarter),7640.0,2015-02-01,0.9118635926993276
2019.0,1.0,North America,Model X,-0.38402059960147716,-0.3443470271490624,1.639209098020189,82.0,480.0,605.59,Interpolated (Month),14071.0,2019-01-01,0.9153335509848732
2021.0,2.0,North America,Model 3,-0.8556606283944018,-0.7852134319961095,0.21807606292885934,120.0,712.0,700.07,Official (Quarter),9333.0,2021-02-01,0.8965941731637259
2016.0,12.0,Middle East,Model Y,0.6230426730851394,0.6763596439238668,1.4880846619017716,120.0,661.0,1226.88,Estimated (Region),8722.0,2016-12-01,0.9140873162443673
2020.0,4.0,Asia,Model X,-1.3382276621647486,-1.3176335630893485,0.10056090138116786,82.0,477.0,333.14,Official (Quarter),5798.0,2020-04-01,0.9232599643069601
2015.0,11.0,Asia,Model 3,-0.5603773776091764,-0.6291025910891413,0.13324768536326176,82.0,475.0,549.84,Interpolated (Month),9961.0,2015-11-01,0.9675275827482447
2020.0,6.0,Europe,Cybertruck,-0.384274715996301,-0.34364276771639934,-0.5512940108106129,100.0,592.0,746.81,Official (Quarter),8216.0,2020-06-01,0.9149260226283725
2022.0,4.0,Europe,Model S,1.3271992031418172,1.1982158835271606,-0.7412470499864042,100.0,563.0,1279.0,Interpolated (Month),13264.0,2022-04-01,0.9609771573604061
2021.0,3.0,Middle East,Model Y,-0.5418268807870409,-0.5746398616298681,-1.7056006193927993,82.0,485.0,566.72,Interpolated (Month),3383.0,2021-03-01,0.9490740740740741
2020.0,11.0,Asia,Model 3,-0.4073993079252644,-0.3525633871967976,1.6421634536553318,120.0,670.0,836.06,Estimated (Region),10165.0,2020-11-01,0.9087830456630981
2025.0,5.0,Asia,Cybertruck,-1.0127045603954943,-0.9795890354111015,-0.3017061301449552,82.0,477.0,424.79,Interpolated (Month),14940.0,2025-05-01,0.9157797316057381
2020.0,10.0,Middle East,Model S,-0.3044821680216359,-0.3053780052083756,0.7104226105275253,82.0,453.0,592.8,Estimated (Region),5325.0,2020-10-01,0.9325494388027793
2020.0,11.0,Asia,Model S,0.20705413475862125,0.23525848593259865,-0.32759203119372693,75.0,426.0,686.09,Interpolated (Month),5601.0,2020-11-01,0.9209984559958827
2020.0,4.0,North America,Cybertruck,-1.4012485280810447,-1.3260846762813048,0.3085845172438542,120.0,665.0,439.7,Estimated (Region),8397.0,2020-04-01,0.8803674855202717
2025.0,3.0,North America,Cybertruck,1.8186603107309962,1.936279768958,1.3336246469362067,120.0,682.0,1747.18,Official (Quarter),3904.0,2025-03-01,0.9034595852729581
2023.0,11.0,Europe,Model S,0.6652259946258858,0.6566403798093025,-1.4358834572891077,100.0,592.0,1113.55,Interpolated (Month),11616.0,2023-11-01,0.9321340964840557
2020.0,7.0,Europe,Model S,1.6832162722899247,1.6977705744294591,0.6214738412702493,100.0,585.0,1451.91,Official (Quarter),14471.0,2020-07-01,0.9249776386404294
2017.0,1.0,Europe,Model S,-0.8767522891647751,-0.902824757250833,-1.348817940639765,100.0,590.0,572.77,Estimated (Region),14372.0,2017-01-01,0.950367107195301
2021.0,1.0,Asia,Model 3,-0.537252785680213,-0.5805086902353933,0.8549941824646292,60.0,359.0,420.46,Interpolated (Month),8256.0,2021-01-01,0.9541732860808995
2019.0,5.0,Middle East,Model 3,1.0303912539876492,0.8599366027046926,-1.3720765328245788,75.0,417.0,874.26,Official (Quarter),13525.0,2019-05-01,0.9761156505342552
2016.0,9.0,Asia,Model S,1.0344571163048295,1.0155779373232188,1.6715176409796813,60.0,349.0,732.53,Interpolated (Month),4515.0,2016-09-01,0.933987451608597
2020.0,1.0,Asia,Model Y,0.42432365233294805,0.4054545154928272,0.29040558767532,100.0,567.0,985.9,Official (Quarter),4971.0,2020-01-01,0.9361221028829847
2025.0,9.0,North America,Model S,2.015600516719421,1.838857214106283,-0.21250586291470036,60.0,355.0,950.73,Interpolated (Month),5009.0,2025-09-01,0.9656552544756342
2022.0,4.0,North America,Model S,0.03400086988363113,0.11905567954320123,-0.3048811677959129,120.0,681.0,1027.22,Estimated (Region),7885.0,2022-04-01,0.9008331093791991
2025.0,3.0,Middle East,Cybertruck,-1.1977012958272018,-1.1819462457296077,-0.9837522308201658,100.0,594.0,464.12,Estimated (Region),4024.0,2025-03-01,0.9267034335527486
2016.0,12.0,North America,Cybertruck,-1.193889549904845,-1.1734951325376517,0.14970589164632,100.0,588.0,460.76,Estimated (Region),13003.0,2016-12-01,0.9234576630722998
2022.0,5.0,Europe,Model 3,0.6654801110207097,0.7611055289876496,-1.4283931915721477,120.0,710.0,1335.62,Official (Quarter),11787.0,2022-05-01,0.9023600518060153
2017.0,6.0,North America,Model X,-0.9174109123365789,-0.8739501205116493,1.6347502278312804,75.0,435.0,411.86,Interpolated (Month),3923.0,2017-06-01,0.9104283859800952
2023.0,11.0,North America,Model S,0.7102045965096939,0.492782685143041,0.5987172509682576,60.0,344.0,656.2,Estimated (Region),7161.0,2023-11-01,0.9970207761662093
2016.0,10.0,Asia,Model S,1.6585669819920186,1.7024656373138791,0.7096129461046373,82.0,460.0,1134.98,Official (Quarter),9148.0,2016-10-01,0.9185280321643958
2024.0,1.0,Middle East,Model X,1.3886953706891705,1.2709893582356722,0.1611997466366783,100.0,561.0,1294.82,Official (Quarter),8327.0,2024-01-01,0.9574984443061606
2020.0,9.0,Middle East,Model S,-0.15150409833772394,-0.12649610931196986,0.7516021728975225,100.0,596.0,833.74,Official (Quarter),13947.0,2020-09-01,0.9218147672234852
